AACS	FOCAD
PSPC1	MAP1LC3B
TADA3L	SMG7
TADA3L	RFC5
TADA3L	SMARCA1
FBXO17	PEX14
AES	DUSP6
AES	NHLRC3
DUSP6	BIN3
DUSP6	SLC25A17
BIN3	LIG4
BIN3	FCF1
LIG4	KCNT2
NHLRC3	BCS1L
KCNT2	SPRED1
SLC25A17	PIK3C3
BCS1L	NIN
BCS1L	SERF2
AFG3L2	SUV39H2
AFG3L2	MANF
SUV39H2	MAGT1
MAGT1	STK17A
MAGT1	SCARB2
AGAP10	MOAP1
AGAP10	CRHR2
AGAP10	LMNA
AGAP10	MYO6
AGAP10	NAA50
MOAP1	SNRNP70
LMNA	KIAA0907
SNRNP70	NOSIP
NOSIP	PPM1G
AGAP8	LAP3
LAP3	FAM49A
FAM49A	FKBP4
FKBP4	TDP2
AGAP6	CMTM3
CMTM3	IFT122
CMTM3	SOCS7
IFT122	MALT1
IFT122	PPFIA2
IFT122	TDP2
MALT1	ATP6V1E1
SOCS7	PDDC1
SOCS7	PACRGL
TDP2	NECAP2
TDP2	GALNS
SCAMP3	PPP5C
SCAMP3	PPP1R16A
LARP4	PTPN21
LARP4	PHTF1
PTPN21	CDK5R1
PTPN21	FLJ35220
PRKAB1	NSMAF
KIAA1632	PGRMC1
NSMAF	DPYSL4
NSMAF	RGPD3
GNAS	RNF40
PPP5C	BLOC1S6
SUCLG1	PCGF2
AGGF1	C18ORF32
AGGF1	MRPL17
DDX3Y	IL33
LTA4H	PET117
RSU1	KIAA0408
RSU1	LRRTM2
CAD	KRAS
AGPAT5	MRPL30
AGPAT5	MBIP
MBIP	CLINT1
KIAA0408	BET1
AGXT2L2	MYH9
DNALI1	DDX27
DNALI1	ASB1
DNALI1	BCAP29
DNALI1	FIBP
DNALI1	SMYD4
SPPL2A	OTUD4
NFATC3	SNRNP35
IMP3	SENP1
IMP3	RNF126
KCTD13	SMN2
SENP1	MEF2A
AGTRAP	PCBD1
PCBD1	FBXL7
PCBD1	LTBP3
FBXL7	MRPS2
MRPS2	NECAP2
AHCTF1	NECAP2
POLR1D	GALNS
POLR1D	COG5
POLR1D	SNRNP35
GALNS	GTDC1
COG5	DDX56
RCHY1	DCAF10
GTDC1	ARL14EP
GTDC1	TGS1
C6ORF162	GNAI2
C6ORF162	LRRC37A3
C6ORF162	POM121C
AIF1L	SLK
SLK	KIAA0892
SLK	RABEP1
KIAA0892	C18ORF1
KIAA0892	PAAF1
RABEP1	NCKAP5
BSCL2	MTCH1
BSCL2	M6PR
MTCH1	IRS2
KIAA0368	IQSEC1
C18ORF1	NME4
PRKAR2A	FAM192A
PRKAR2A	NINJ1
AIP	ANKRD20A4
AIP	CNTNAP3B
ANKRD20A4	ANKRD20A2
ANKRD20A2	SCFD2
ANKRD20A2	ANKRD20A3
ANKRD20A2	IDH3G
CNTNAP3B	TASP1
PLCG1	TASP1
PLCG1	SPDYE5
SERPINE2	SPDYE5
SERPINE2	CCDC59
SERPINE2	PRDM5
SPDYE5	STK17B
SCFD2	ASTN1
SCFD2	APRT
ING4	SLC2A10
ING4	PARP4
SLC2A10	STK3
SLC2A10	KIAA0090
SLC2A10	MTRF1L
PRDM5	GEMIN5
JUB	ASXL3
JUB	CCAR2
JUB	CRTC3
JUB	FAHD2B
JUB	FN3KRP
JUB	FOXJ2
ASXL3	ARSK
ARSK	LMF2
ARSK	CDK11B
FAHD2B	LSG1
FN3KRP	STK4
LSG1	BAZ2A
LMF2	RBM10
LMF2	NEUROD6
STK4	PDE6B
AK1	RDH13
RDH13	RHOT2
RHOT2	PIP4K2B
RHOT2	ANP32B
PIP4K2B	TDRD3
PIP4K2B	MYO19
PIP4K2B	PTGR1
AK3	C3ORF37
C3ORF37	NRBP2
NRBP2	RWDD1
NRBP2	RANBP6
RWDD1	CPD
RWDD1	DTD1
PPP1R14B	KCNQ2
PPP1R14B	NRCAM
PPP1R14B	MBD3
DHX38	SRRM4
SRRM4	PDZD8
KCNQ2	RNFT2
NRCAM	POLR3A
PDZD8	SETD8
PDZD8	GANAB
POLR3A	SPOP
PRDM16	C16ORF13
THSD7A	CDK9
THSD7A	SYS1
RNFT2	LMO7
SPOP	SMAD4
GANAB	GTF2H2
GANAB	BEND5
GANAB	DENND5B
GTF2H2	GTF2H2C
C16ORF13	FEZF2
HIRIP3	MAD2L1
HIRIP3	ATL2
HIRIP3	GALNT11
MAD2L1	RAP1A
MAD2L1	NXT2
MAD2L1	RABL3
AKAP10	SCNM1
SCNM1	NUBP2
SCNM1	APBB1
SCNM1	TFAM
NUBP2	IDS
NUBP2	NEB
APBB1	HSF1
AQR	GLRX3
NME3	IKBKB
NME3	HNRPLL
IKBKB	ASXL1
IKBKB	RBM10
IKBKB	SV2A
IKBKB	CHD3
IKBKB	CWF19L1
IKBKB	ECHDC2
IKBKB	EXT2
IKBKB	KDM3A
IKBKB	SPG20
GOLGA8N	SLC25A32
GOLGA8N	SPAST
SLC25A32	PHF12
KIF20B	SPC25
SPC25	RAP1A
SPC25	RING1
SPC25	SEMA4B
SPC25	SLC6A15
MAPKAPK5	SLC6A15
SLC6A15	SNAP25
SLC6A15	RNF126
SLC6A15	C14ORF142
SLC6A15	TCF4
PHF12	C14ORF142
PHF12	TAX1BP3
C14ORF142	KCTD20
C14ORF142	MSH5
SPAST	ST18
SPAST	KIF3A
B4GALT2	IGHMBP2
IGHMBP2	HINT2
