SLC35E1	DHX33
BICD2	C1ORF86
C1ORF86	MON2
C1ORF86	CHL1
CTNNAL1	DEDD2
DEDD2	TCERG1
HNRNPU	RTF1
MARS	NR2C1
NUCB1	SULT1C4
PLLP	TEAD2
METT10D	ADAL
METT10D	MRPL28
TEAD2	KIAA0196
AKIRIN1	MSH5-SAPCD1
MSH5-SAPCD1	SPNS1
METTL14	POLR2M
NUP153	NMRAL1
NUP153	KDM3B
GNG3	PDPN
HSPH1	MLLT3
HSPH1	MRPL9
HSPH1	MMGT1
MLLT3	KNOP1
MLLT3	LGALS8
MLLT3	EFTUD2
KHDC1	ERLIN1
KHDC1	MCM5
KHDC1	PABPC1L
ERLIN1	C9ORF85
ERLIN1	DCUN1D5
ERLIN1	C12ORF24
LGALS8	ANKRD46
NDUFA8	HSPA4
KDM3B	SYNE1
DHRS7	SDHB
DNAJC18	MAGT1
EIF2B1	DHPS
KIAA0196	SHISA2
ADAL	CCDC92
ADAL	TIMP3
CCDC92	INO80
CCDC92	CCS
CCDC92	ETF1
CCDC92	PKIA
C9ORF85	MRPS11
MCM5	KIAA1191
C6ORF62	PAFAH1B2
PAFAH1B2	SCAI
CREG1	DHX34
CREG1	SCAI
CREG1	PSMB10
CREG1	PTPN23
CREG1	HDAC7
GPATCH1	SCAI
GPATCH1	COX7A2
SCAI	DTL
PHF2	PIK3CA
ATXN7L3	LRRC8B
ATXN7L3	NDST2
LRRC8B	PTCH1
LRRC8B	TBC1D20
C9ORF16	SLC41A3
C9ORF16	SPPL2B
SLC41A3	INSIG2
SLC41A3	NKX6-2
SLC41A3	EIF2S3
SLC41A3	MAP7D1
CALCOCO1	TCEAL3
CALCOCO1	CYTH1
CALCOCO1	DPH1
TCEAL3	PLEKHG2
TCEAL3	C7ORF11
CAMK2G	C14ORF143
CAMK2G	RBM39
CAMK2G	PTPN21
C14ORF143	PLEKHG2
C14ORF143	SALL2
EPB41L5	NDST2
EPB41L5	FGD4
HERC2	SMARCB1
HERC2	SUMO1
INSIG2	RNF26
KCNT2	PTCH1
KIAA0368	DNAJC4
KIAA0368	APOO
KIAA0368	HN1
KIAA0368	SPATA13
DNAJC4	STX16
DNAJC4	PISD
MKRN2OS	COG8
MKRN2OS	EMP3
MKRN2OS	SOD2
MKRN2OS	RB1
MKRN2OS	SLC39A1
COG8	PTRH2
PEMT	PDLIM7
PDLIM7	RANBP3
SETMAR	SENP1
SETMAR	GSTK1
SETMAR	MAN2B2
RBM39	MEIS1
RBM39	SMARCC1
SENP1	ORC2L
GSTK1	STX16
NKX6-2	INPP5A
NKX6-2	FUT8
NKX6-2	FBXL3
NKX6-2	MAPRE2
SMARCB1	SLC5A6
TBC1D20	CSNK1A1
TBC1D20	PARG
TBC1D20	ARL8A
DNAJC21	SCRIB
DNAJC21	LAMTOR2
SCRIB	DCUN1D2
SCRIB	SMG7
SCRIB	APOC1
SCRIB	NECAP1
SCRIB	RNF123
PSMB10	CASK
RFWD2	SMYD2
SMYD2	DMXL2
COX7A2	SF3B1
GUCY1A2	HDAC7
GUCY1A2	OGG1
HDAC7	RBMX
