BTBD10	PIK3C2B
FGFBP3	HAX1
HAX1	PSMD12
PSMG4	GKAP1
GKAP1	EML5
GKAP1	THTPA
KIAA1632	MPP5
KIAA1632	CENPI
MPP5	ORC1
MPP5	PRPF3
NLGN4Y	NFE2L1
NLGN4Y	NINL
NFE2L1	ADPGK
INTS4	EIF3G
INTS4	BDH2
POLR2C	AP3M1
AP3M1	BAD
STMN4	POLD3
POLD3	DEF8
RFXANK	KCTD15
DUSP6	SLC44A1
DUSP6	SAP130
SLC44A1	CPSF2
SLC44A1	EIF5A2
SAP130	PSD3
CAPN7	CYBASC3
CAPN7	MALT1
MALT1	ADNP
DEPDC4	C19ORF44
DEPDC4	REC8
C19ORF44	C17ORF63
C19ORF44	GPR171
REC8	RHOT2
EML5	TMEM22
EML5	ARL5A
TMEM22	LIMK2
LIMK2	DUS4L
LIMK2	MAK
CHD1	RGPD8
RGPD8	MAD1L1
SUV420H1	MUDENG
MUDENG	SEC61A2
MUDENG	ATP10D
MEMO1	CCPG1
CCPG1	STRADA
KDM5B	RAB2A
CEP120	CHD2
QRICH1	EFCAB14
EFCAB14	RAB11FIP2
GNPTG	SORBS3
SORBS3	LRSAM1
LRSAM1	C14ORF79
ADPGK	FAM173B
NMT1	PGRMC1
C14ORF79	CHD2
C14ORF79	RFXAP
EIF5A2	KBTBD4
KLF7	RALGPS2
RALGPS2	NFKBIA
RFXAP	NBEA
CHRNA7	SMIM3
CHRNA7	KCNIP2
CHRNA7	TBC1D23
SMIM3	FRMD6
SMIM3	ALG11
KCNIP2	MKRN2
TBC1D23	RGL1
HPRT1	KIAA0831
KIAA0831	SV2A
ATL1	TCF3
ALG11	SH3GLB1
KRBA2	SLC25A26
SLC25A26	PFTK1
GPR171	PARP11
GPR171	LAMB1
IQCK	RHOT2
FAM98B	MCPH1
SH3GLB1	MAD1L1
MRPL48	MAD2L2
LASP1	STRADA
STRADA	NTAN1
AP3M2	SMYD4
AP3M2	THUMPD2
SMYD4	RABEP1
THUMPD2	MYO9B
CDK1	THTPA
CDK1	NFIA
ORC1	THSD7A
CTNNB1	CSNK1E
RAD54L	OSER1
CENPI	C2ORF29
CTH	C7ORF11
C7ORF11	ERRFI1
C7ORF11	CXORF39
CHMP1A	BAD
BAD	PCYT1A
SMARCA4	TIMM17A
SMARCA4	PRKD1
ADCK4	RNPEPL1
RNPEPL1	METTL1
RNPEPL1	NEO1
LEMD2	THSD7A
LEMD2	DGKD
MCPH1	THSD7A
METTL1	WDR52
NEO1	SV2A
NEO1	NUDT15
NEO1	FLAD1
NEO1	MAP2K7
AK3	GLUD1
INTS6	LARP4B
LARP4B	C10ORF140
C3ORF19	DGKD
DGKD	MEF2C
WDR52	SLC16A2
8-Mar	MEF2C
8-Mar	KCTD13
8-Mar	PEF1
8-Mar	KCTD10
SEMA4D	FLAD1
SEMA4D	RANGRF
C1ORF212	KDM2A
KCTD13	C1ORF131
MTERFD2	DYRK4
MTERFD2	PRPF8
DYRK4	PRPSAP2
DYRK4	ATF1
KIN	MTMR3
C1ORF131	MSH3
RP11-529I10.4	IFT88
HSCB	IFT88
SLC16A2	PCYT1A
SV2A	GOLGA3
KCTD10	SLC25A27
KCTD10	ATF1
SLC25A27	ALG14
ABT1	C21ORF59
ABT1	MED6
C21ORF59	GOLGA3
ADAMTS9	NLGN1
PFTK1	ATF1
N4BP1	CINP
N4BP1	NIF3L1
CINP	ALG14
NOC3L	PRPSAP2
NOC3L	PRPF18
NOC3L	DHX29
MRPL27	MLL3
SNAP91	TBC1D22A
TBC1D22A	PPM1D
PPM1D	FEZ2
NRIP1	PDGFD
