CHD3	PEPD
SLC35E2	MAST3
SLC35E2	C13ORF23
RBM14	SAP130
SNRNP70	SCYL2
EMC8	MYT1L
CCDC28B	SLCO3A1
PARD3B	STAU2
BCL2L11	NFU1
NFU1	ARFGAP1
NFU1	RMND1
NFU1	DPH3
NFU1	MBNL1
RMND1	MED6
SIRT1	BCL7A
BCL7A	SAP130
BCL7A	NUBPL
INTS10	NUBPL
NUBPL	EIF2AK4
SAP130	HEXA
HEXA	AK4
HEXA	TIAL1
FKBP2	PID1
MGRN1	MLLT3
PID1	SEMA4D
PID1	RAB2A
PID1	RARRES2
AP3M1	MBOAT2
PYROXD1	GARNL3
PYROXD1	EPHB2
GARNL3	GNAI1
GARNL3	JARID2
THUMPD2	AKR7A2
PTBP2	CDO1
AKR7A2	PHF3
ACRV1	LRP12
ACRV1	GPN1
ACRV1	SHANK2
LRP12	DOPEY2
GPN1	SFPQ
GPN1	C12ORF24
DOPEY2	POMGNT1
DOPEY2	RNF146
KIAA0182	SCYL2
KIAA0182	PFKL
MYO5A	NUP85
POMGNT1	DHX57
RNF146	TFAP2C
DPP7	RNF168
DPP7	CLPP
RNF168	MPHOSPH8
SPSB3	GABRB3
SPSB3	GNB5
GABRB3	LYAR
FAM168A	MIOS
MIOS	EFCAB7
MIOS	FOXP2
GNG10	PTMS
ERC1	HAX1
ERC1	QRICH1
FOXK2	NAP1L3
NDRG4	PAPOLG
PAPOLG	BRD9
CDO1	MRPS28
GPR89B	GPR89A
GPR89B	DNMT3A
GPR89A	C14ORF102
ATP6V1D	NR2C2
NR2C2	CIR1
CIR1	RSBN1
C14ORF102	DGAT1
KIAA1632	PGRMC1
SIAH2	CCDC125
SIAH2	COG7
SIAH2	MIB1
CCDC125	C10ORF18
CCDC125	GPS1
NAT11	GRIA2
NAT11	SLC25A27
GRIA2	MYT1L
GRIA2	SETD2
AMOTL1	GGA2
PIN1	CTCF
CTCF	PINLYP
MAGI3	MTMR7
MAGI3	RANBP17
NINJ1	PRKAR2A
SLC25A27	MTMR7
MAST3	EPN2
MAST3	SRCAP
DPM3	RSU1
DPM3	HNRNPUL1
C13ORF23	C12ORF30
METTL14	RNF38
RNF38	RHOT2
RNF38	DGAT1
FBXL5	SELT
ACVR1	AK4
ACVR1	ARID5B
ACVR1	C6ORF203
ACVR1	NCKAP1
ARID5B	MRPL34
C6ORF203	DRAM2
MRI1	THBS3
MRI1	DECR1
THBS3	ARHGEF2
MRPL34	TBC1D23
CREBBP	PRKD1
IFI44L	SRRM2
NHLRC3	AES
NHLRC3	NCOA6
AES	DUSP6
MBD1	C22ORF39
MBD1	SNAP91
C14ORF126	RNF130
CCDC34	LYAR
CCDC34	PQLC2
C22ORF39	RORA
SNAP91	TIMELESS
DGAT1	MKRN2
MKRN2	DNAH14
JUB	CRTC3
JUB	ASXL3
JUB	FOXJ2
CRTC3	ASB1
ASPH	EFEMP2
ASPH	GNAI1
ASPH	PSMG4
ASXL3	MAP2K2
CTTNBP2	FOXJ2
DIDO1	GON4L
GON4L	FAM45A
C10ORF18	RSBN1
GDE1	KIAA0100
KIAA0100	PINLYP
KIAA0100	C12ORF30
KIAA0100	PSEN1
SCNM1	APBB1
ADAT2	SNX19
ADAT2	NUDCD1
NUDCD1	EIF2C1
DPYSL2	MLLT3
CHMP2B	RAD54L
DNA2	EFCAB7
FAM40A	NFATC2IP
LSMD1	KCNQ3
MBOAT2	NR2F1
ARHGEF2	GGNBP2
KIAA1191	MRPL44
CHURC1-FNTB	ETAA1
CHURC1-FNTB	KLHL28
GDAP1	SEMA4D
GDAP1	PROSC
PROSC	NLGN3
PROSC	MRPL50
ERI1	MTMR7
PAPD5	CCDC138
CCDC138	FAM173B
CCDC138	SRBD1
BNIP2	METTL3
BNIP2	CUL1
GGA2	SSSCA1
GGA2	BNIP1
DLL1	MRPL44
DLL1	GSTP1
DLL1	TIFA
TIFA	KMT2A
ARID1B	C11ORF51
DUSP6	BIN3
MAP2K2	ANKRD11
GNAI1	C3ORF38
SRBD1	NPRL2
AKAP6	CAP2
AKAP6	SCUBE1
BCCIP	DYNC2LI1
LRRTM2	RSU1
SUMO3	GLUL
EIF2AK4	MCAM
EIF2AK4	TCEA1
KIF15	LY6G5C
LY6G5C	OIP5
ELAVL3	GOLGA6L9
NUP85	PSD3
SIAH1	SCRG1
C12ORF30	MAMLD1
RGPD1	RGPD2
BLOC1S3	ANK2
ANAPC10	ATPBD4
ANAPC10	CTTN
ATPBD4	GOLGA6L9
GOLGA6L9	PPP4R2
C3ORF38	FOXG1
APOOL	CUL3
NLGN3	SLC16A9
FAM84B	HAX1
FAM84B	DENR
LYPLA1	DENND6A
DDX49	CSDE1
C1orf52	PCM1
PRPF39	GNB5
DENND6A	INTS6
NSFL1C	CSNK1E
CRCP	PPP4R2
CRCP	MLL5
SELT	SSR2
FAM13C	METT10D
HNRNPUL1	MYH10
BAZ1A	FNBP1
BAZ1A	EMP2
EMP2	BBIP1
BBIP1	FBXO11
BAZ2B	METT10D
BCL11A	PRPF4
DICER1	SMARCE1
